Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Agriculture: Cropland,,Developed: High Intensity,,,Urbanization: High,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Developed: Low Intensity,,,Urbanization: Low,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Developed: Medium Intensity,,,Urbanization: Medium,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Developed: Open Space,,,Urbanization: Open,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Alder/Maple Group,,,Ag Contraction: Alder/Maple Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Aspen/Birch Group,,,Ag Contraction: Aspen/Birch Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: California Mixed Conifer Group,,,Ag Contraction: California Mixed Conifer Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Douglas-fir Coastal Group,,,Ag Contraction: Douglas-fir Coastal Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Douglas-fir Inland Group,,,Ag Contraction: Douglas-fir Inland Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Elm/Ash/Cottonwood Group,,,Ag Contraction: Elm/Ash/Cottonwood Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Exotic Hardwoods Group,,,Ag Contraction: Exotic Hardwoods Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Exotic Softwoods Group,,,Ag Contraction: Exotic Softwoods Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Ag Contraction: Fir/Spruce/Mountain Hemlock Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Hemlock/Sitka Spruce Group,,,Ag Contraction: Hemlock/Sitka Spruce Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Loblolly/Shortleaf Pine Group,,,Ag Contraction: Loblolly/Shortleaf Pine Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Lodgepole Pine Group,,,Ag Contraction: Lodgepole Pine Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Longleaf/Slash Pine Group,,,Ag Contraction: Longleaf/Slash Pine Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Maple/Beech/Birch Group,,,Ag Contraction: Maple/Beech/Birch Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Oak/Gum/Cypress Group,,,Ag Contraction: Oak/Gum/Cypress Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Oak/Hickory Group,,,Ag Contraction: Oak/Hickory Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Oak/Pine Group,,,Ag Contraction: Oak/Pine Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Other Western Hardwoods Group,,,Ag Contraction: Other Western Hardwoods Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Other Western Softwood Group,,,Ag Contraction: Other Western Softwood Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Pinyon/Juniper Group,,,Ag Contraction: Pinyon/Juniper Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Ponderosa Pine Group,,,Ag Contraction: Ponderosa Pine Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Redwood Group,,,Ag Contraction: Redwood Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Spruce/Fir Group,,,Ag Contraction: Spruce/Fir Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Tanoak/Laurel Group,,,Ag Contraction: Tanoak/Laurel Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Tropical Hardwoods Group,,,Ag Contraction: Tropical Hardwoods Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Western Larch Group,,,Ag Contraction: Western Larch Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Western Oak Group,,,Ag Contraction: Western Oak Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: Western White Pine Group,,,Ag Contraction: Western White Pine Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Forest: White/Red/Jack Pine Group,,,Ag Contraction: White/Red/Jack Pine Group,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Grassland: All,,,Ag Contraction: Grassland,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Shrubland: All,,,Ag Contraction: Shrubland,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Wetland: Herbaceous,,,Ag Contraction: Wetland Herbaceous,1.0000,,,,,,,,
,,,Agriculture: Cropland,,Wetland: Woody,,,Ag Contraction: Wetland Woody,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Developed: High Intensity,,,Urbanization: High,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Developed: Low Intensity,,,Urbanization: Low,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Developed: Medium Intensity,,,Urbanization: Medium,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Developed: Open Space,,,Urbanization: Open,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: Alder/Maple Group,,,Ag Contraction: Alder/Maple Group,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: Aspen/Birch Group,,,Ag Contraction: Aspen/Birch Group,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: California Mixed Conifer Group,,,Ag Contraction: California Mixed Conifer Group,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: Douglas-fir Coastal Group,,,Ag Contraction: Douglas-fir Coastal Group,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: Douglas-fir Inland Group,,,Ag Contraction: Douglas-fir Inland Group,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: Elm/Ash/Cottonwood Group,,,Ag Contraction: Elm/Ash/Cottonwood Group,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: Exotic Hardwoods Group,,,Ag Contraction: Exotic Hardwoods Group,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: Exotic Softwoods Group,,,Ag Contraction: Exotic Softwoods Group,1.0000,,,,,,,,
,,,Agriculture: Pasture,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Ag Contraction: Fir/Spruce/Mountain Hemlock Group,1.0000,,,,,,,,
